daily_limit_mins,current_session_mins,total_usage_today,addiction_level,time_of_day_hr,scroll_velocity_avg,session_depth_pages,next_interval_mins,interruption_type_id
180,12,209,9,23,17.79667398814432,34,2,18
90,79,109,7,8,12.393701933264493,2,1,20
240,126,306,6,9,12.725165580257581,21,1,20
120,86,146,10,11,5.946080639921494,5,2,20
180,104,36,6,11,12.06062820943435,12,1,17
60,78,83,6,0,18.706970335629517,8,4,20
180,44,344,6,22,8.101875396748541,21,1,19
240,83,102,5,2,6.5255220391562485,37,1,16
120,16,81,2,21,9.769023392701431,4,38,2
90,127,103,6,20,12.75918516436139,31,4,18
240,137,317,10,8,20.096178584421573,32,3,20
240,112,75,8,5,7.809430465134202,16,5,17
60,97,200,4,23,18.880127168941918,16,1,20
150,96,28,7,8,18.85763074842884,32,5,16
120,172,75,8,1,11.818241081394767,26,1,20
45,140,180,5,19,9.054699752575106,12,1,20
240,104,113,6,22,10.782891455323648,31,1,18
150,95,2,4,17,12.004536993858185,36,2,16
45,36,125,10,6,19.270570546914144,21,1,20
120,16,270,9,13,16.85216062316708,11,3,20
30,80,48,9,14,17.804597301317244,20,1,20
150,139,170,1,3,7.190924905582717,29,1,20
300,99,423,7,18,10.56088435093098,11,1,20
30,93,187,3,7,7.221684294709176,10,1,20
60,37,187,4,0,9.307598012543252,31,1,20
180,54,295,9,6,15.624846508990851,9,1,19
90,50,46,8,1,15.141363708369195,31,3,6
300,138,358,7,5,17.33372470551196,17,1,18
60,32,225,10,15,3.777517738685809,11,1,20
120,6,103,1,1,10.553609312205964,28,48,4
60,176,70,5,12,12.443856873134992,28,1,20
180,27,311,5,17,6.3550093422400025,33,5,20
120,29,246,4,16,15.701319068820792,27,7,20
300,42,46,2,23,20.835021665019873,24,11,5
180,167,343,1,20,12.837004515242663,31,1,20
45,122,188,4,19,17.176492209340513,32,2,17
90,97,200,8,17,16.798830143705608,16,2,19
300,11,278,2,12,16.6516595346947,34,46,2
45,64,139,8,1,13.322486742895272,24,1,20
300,65,466,6,0,24.8636050563908,2,2,20
120,66,97,8,12,15.789265269930507,35,1,13
45,119,6,6,15,17.905386737969387,31,3,19
90,2,15,9,17,10.11334735075102,13,40,2
180,25,342,7,17,18.458248091482208,11,3,18
240,72,50,1,9,17.086704911660238,33,7,14
60,172,172,9,6,9.701564679043793,32,1,18
30,5,166,6,15,5.8746349263162845,3,7,19
90,134,164,4,11,12.714133004179033,11,1,20
45,11,213,7,3,11.74029431993462,3,3,20
240,167,95,6,2,11.90088641563796,33,2,20
90,10,186,3,21,15.764633208399566,26,9,20
45,146,222,6,11,15.563979299459202,2,1,19
150,98,263,7,10,12.80751955075414,27,1,19
150,62,292,3,12,12.018094408965903,29,4,20
90,16,48,8,12,19.251904458103084,7,28,3
150,70,67,6,22,14.525416219376014,21,3,15
45,4,127,2,19,11.603443992283527,4,9,19
45,31,7,1,13,16.82677636653192,15,27,2
90,25,214,3,18,18.81576858068769,38,8,20
240,28,366,10,2,13.134440504453604,28,4,20
180,80,144,10,18,22.044136993137982,32,1,16
300,4,87,9,16,12.434972926103118,21,36,2
240,33,4,4,23,21.92233458098802,27,15,7
120,18,121,1,2,18.0240464532695,26,9,15
45,52,145,2,9,10.850027462566725,10,6,20
120,69,211,1,23,5.816541246508949,14,4,20
240,142,154,5,2,22.03749270087964,16,1,20
300,4,118,6,10,17.32298506827295,26,42,1
300,109,71,4,8,8.665805475969595,27,2,17
30,124,5,5,13,23.227328244437146,23,3,17
300,60,251,4,20,25.49895012640254,32,7,5
180,142,248,10,16,16.947976057029578,35,3,20
300,100,56,9,19,12.812000760000108,2,6,19
240,141,304,2,10,17.11808638563439,39,2,19
30,78,97,5,9,29.023423262150175,15,1,19
240,101,351,2,3,6.37374354033326,5,1,20
240,38,268,5,3,22.569179652259848,31,2,18
60,136,1,8,10,13.441672917697687,28,2,20
30,175,98,1,2,13.892048265850104,15,2,20
240,63,185,7,23,8.261493469258031,35,1,16
60,90,230,9,6,19.694902523384673,15,1,20
60,32,45,3,20,18.15841737531343,29,21,3
30,158,154,6,0,22.872495350578987,33,1,20
120,156,44,5,18,13.352645888904098,18,3,20
180,2,168,8,10,9.892406955803061,25,44,1
300,119,52,5,19,24.033304915902605,37,4,18
180,170,272,10,1,18.084405601786358,33,1,20
300,30,162,9,21,19.704395311903887,33,10,5
240,10,50,9,18,6.307479985082679,7,35,3
45,41,149,7,6,20.284393679715798,13,1,20
30,39,148,3,22,16.236464868085825,10,3,20
180,71,295,4,4,13.441133183081874,37,1,20
180,32,132,4,1,13.502698156771654,28,19,6
240,17,378,8,18,23.564225948487,10,4,19
120,112,35,1,17,15.755910853369576,7,3,18
60,154,157,2,13,16.668071355482738,15,1,20
240,120,413,5,3,12.38127376544976,34,1,20
150,72,253,5,9,17.730732494838435,7,1,20
60,52,50,3,11,15.903235727660654,28,8,3
30,137,192,4,4,18.642606848714816,18,2,20
60,147,232,6,0,16.600237341807553,16,2,20
120,83,4,8,22,11.347966309878275,23,3,17
60,125,178,9,19,20.577351703335978,34,1,20
30,28,82,3,10,26.116513339168687,39,7,20
120,131,223,8,21,18.991127108184312,12,1,20
180,78,163,10,16,17.56617938288509,17,2,16
180,13,285,3,10,20.954994793579456,28,13,20
300,90,447,7,22,15.358985179564314,6,1,20
60,2,63,10,12,14.48191330547623,4,5,16
180,168,157,1,6,25.088379824116025,25,1,20
30,93,34,8,2,13.088596824748626,13,2,20
90,12,62,1,10,18.066637859001677,16,49,2
90,119,226,3,14,11.850898644635679,26,1,20
120,137,160,2,3,16.124596766546837,19,1,20
180,38,48,5,23,24.141234416368132,13,8,6
180,117,153,8,15,13.650542623270521,32,1,19
90,104,167,8,20,8.546899667327455,6,1,19
180,101,113,10,3,12.084147121439678,23,1,19
60,154,24,1,19,14.559425009117959,24,1,20
150,63,147,9,8,11.840843575521287,20,3,16
45,71,21,8,1,11.77480635742474,11,3,20
300,150,101,6,5,10.231130477489403,34,1,20
